segment_id,video_id,start_time,end_time,tiers,annotations,annotations_label
91884,006e6f29-3a9a-4ede-b04b-a9f3de20d811,0,3715,Image Type,91860:2,Still Image
91885,006e6f29-3a9a-4ede-b04b-a9f3de20d811,3715,9379,Image Type,91861:2,Still Image
91886,006e6f29-3a9a-4ede-b04b-a9f3de20d811,9379,44307,Image Type,91862:3,Animation
91887,006e6f29-3a9a-4ede-b04b-a9f3de20d811,44307,59227,Image Type,91863:3,Animation
91888,006e6f29-3a9a-4ede-b04b-a9f3de20d811,59227,71789,Image Type,91864:3,Animation
91889,006e6f29-3a9a-4ede-b04b-a9f3de20d811,71789,92439,Image Type,91865:3,Animation
91890,006e6f29-3a9a-4ede-b04b-a9f3de20d811,92439,95907,Image Type,91866:2,Still Image
91891,006e6f29-3a9a-4ede-b04b-a9f3de20d811,95907,102135,Image Type,91867:2,Still Image
91892,006e6f29-3a9a-4ede-b04b-a9f3de20d811,102135,128846,Image Type,91868:14,Live-Action
91893,006e6f29-3a9a-4ede-b04b-a9f3de20d811,128846,138562,Image Type,91869:19,Hybrid Image
91894,006e6f29-3a9a-4ede-b04b-a9f3de20d811,138562,182871,Image Type,91870:3,Animation
91895,006e6f29-3a9a-4ede-b04b-a9f3de20d811,182871,255292,Image Type,91871:19,Hybrid Image
91896,006e6f29-3a9a-4ede-b04b-a9f3de20d811,255292,293688,Image Type,91872:3,Animation
91897,006e6f29-3a9a-4ede-b04b-a9f3de20d811,293688,329281,Image Type,91873:3,Animation
91898,006e6f29-3a9a-4ede-b04b-a9f3de20d811,329281,332896,Image Type,91874:2,Still Image
91899,006e6f29-3a9a-4ede-b04b-a9f3de20d811,332896,339312,Image Type,91875:2,Still Image
91900,006e6f29-3a9a-4ede-b04b-a9f3de20d811,339312,363808,Image Type,91876:19,Hybrid Image
91901,006e6f29-3a9a-4ede-b04b-a9f3de20d811,363808,386608,Image Type,91877:3,Animation
91902,006e6f29-3a9a-4ede-b04b-a9f3de20d811,386608,436092,Image Type,91878:19,Hybrid Image
91903,006e6f29-3a9a-4ede-b04b-a9f3de20d811,436092,475109,Image Type,91879:19,Hybrid Image
91904,006e6f29-3a9a-4ede-b04b-a9f3de20d811,475109,493521,Image Type,91880:19,Hybrid Image
91905,006e6f29-3a9a-4ede-b04b-a9f3de20d811,493521,497668,Image Type,91881:2,Still Image
91906,006e6f29-3a9a-4ede-b04b-a9f3de20d811,497668,515484,Image Type,91882:2,Still Image
91907,006e6f29-3a9a-4ede-b04b-a9f3de20d811,515484,622006,Image Type,91883:3,Animation
91908,006e6f29-3a9a-4ede-b04b-a9f3de20d811,622006,658920,Image Type,91884:3,Animation
91909,006e6f29-3a9a-4ede-b04b-a9f3de20d811,658920,708536,Image Type,91885:19,Hybrid Image
91910,006e6f29-3a9a-4ede-b04b-a9f3de20d811,708536,815876,Image Type,91886:19,Hybrid Image
91911,006e6f29-3a9a-4ede-b04b-a9f3de20d811,815876,890215,Image Type,91887:14,Live-Action
91912,006e6f29-3a9a-4ede-b04b-a9f3de20d811,890215,933133,Image Type,91888:14,Live-Action
91913,006e6f29-3a9a-4ede-b04b-a9f3de20d811,933133,973939,Image Type,91889:14,Live-Action
91914,006e6f29-3a9a-4ede-b04b-a9f3de20d811,973939,1035047,Image Type,91890:14,Live-Action
91915,006e6f29-3a9a-4ede-b04b-a9f3de20d811,1035047,1059491,Image Type,91891:3,Animation
91916,006e6f29-3a9a-4ede-b04b-a9f3de20d811,1059491,1095147,Image Type,91892:3,Animation
91917,006e6f29-3a9a-4ede-b04b-a9f3de20d811,1095147,1130987,Image Type,91893:19,Hybrid Image
91918,006e6f29-3a9a-4ede-b04b-a9f3de20d811,1130987,1184750,Image Type,91894:14,Live-Action
