video_id,title,file_name,path,fps,frames_total,video_label,date_of_production,date_of_release,production_country,archive,format_colour,aspect_ratio,duration_timecode,video_format_digital_format,media,organizations,organizations_location,genres,agents
006e6f29-3a9a-4ede-b04b-a9f3de20d811,Chemie und Biochemie für Mediziner - Molekülmodelle - Isomerie I,W_1509_C.mp4,p_2023_anivision/01_Corpus/04_TIB/02_Hybrid/230 Isomerie I/W_1509_C.006e6f29-3a9a-4ede-b04b-a9f3de20d811.mp4,,,,,1979-01-30,1,5,,1,,mp4,,"""Institut für den wissenschaftlichen Film (IWF)"",""Johannes Gutenberg-Universität Mainz""","""Göttingen"",""Mainz""","""Science Film""","""Klaus Beyermann (Author)"""
00d9ae1c-5cdb-4aef-adb4-5e69bfc8b2a9,"Elterliche Merkmale im Balzverhalten von Schwertträger-Bastarden - Xiphophorus helleri, Xiphophorus montezumae",VTS_01_1_1.mp4,"p_2023_anivision/01_Corpus/04_TIB/02_Hybrid/147 Elterliche Merkmale im Balzverhalten von Schwertträger-Bastarden - Xiphophorus helleri, Xiphophorus montezumae/VTS_01_1_1.00d9ae1c-5cdb-4aef-adb4-5e69bfc8b2a9.mp4",,,,,1975-01-30,1,5,,,,mp4,,"""Institut für den wissenschaftlichen Film (IWF)"",""Zoologisches Institut und Zoologisches Museum der Universität Hamburg""","""Göttingen"",""Hamburg""","""Science Film""","""Dierk Franck (Author)"",""Roland Dröscher (Editor)"",""Hasso Kuczka (Unspecified)"",""Karin Busse (Camera)"",""Roland Doerffer (Camera)"",""J Schwanbeck (Camera)"",""Rüdiger Bias (Camera)"""
01008201-a12b-4c69-be58-78451d559b06,Faschingsbrauchtum in Österreich: Südliches Burgenland,01008201-a12b-4c69-be58-78451d559b06.mp4,p_2023_anivision/01_Corpus/12_Mediathek/MEDIATHEK/04_Fully_live_action/01008201-a12b-4c69-be58-78451d559b06.mp4,,,,,,2,7,,,,mp4,,"""Bundesstaatliche Hauptstelle für wissenschaftliche Kinematographie Wien"",""Institut für Volkskunde, Universität Wien""","""Wien"",""Wien""","""Science Film""","""Hans Abel (Camera)"",""Elinor Pavlousek (Camera)"",""Margareta Edqvisth (Editor)"",""Károly Gaál (Scientific supervisor)"""
0307c1c8-9437-4993-aa74-586d074d4c1e,Blutfluidität als Folge der Erythrozytenfluidität,VTS_01_MERGE.mp4,p_2023_anivision/01_Corpus/04_TIB/02_Hybrid/078 Blutfluidität als Folge der Erythrozytenfluidität/VTS_01_MERGE.0307c1c8-9437-4993-aa74-586d074d4c1e.mp4,,,,,1983-01-30,1,5,,,,mp4,,"""Institut für den wissenschaftlichen Film (IWF)"",""Abteilung Physiologie der Medizinischen Fakultät, Technische Hochschule, Aachen""","""Göttingen"",""Aachen""","""Science Film""","""Holger Schmid-Schönbein (Author)"",""Karl-Heinz Höfling (Editor (Redaktion))"",""Claus Goemann (Camera)"",""Claus Goemann (Editor)"",""Regine Feldmann (Camera)"",""Regine Feldmann (Editor)"",""Jürgen Kaeding (Camera)"",""Horst G. Graske (Animator)"""
031be180-c03d-41c9-9c33-ec00ddb3a08c,Das_Gesicht_einer_Stadt_Linz_PAL.mp4,Das_Gesicht_einer_Stadt_Linz_PAL.mp4,p_2023_anivision/01_Corpus/11_Filmarchiv/Lehrfilme/02_Hybrid/Das_Gesicht_einer_Stadt_Linz_PAL.031be180-c03d-41c9-9c33-ec00ddb3a08c.mp4,,,,,1953-01-31,2,10,,,,mp4,,"""Froschberg Filmstudio""","""Linz""","""documentary""","""Ralf Hualla (Author)"",""Unknown Novak (Author)"",""Peter Puluj (Camera)"",""Sepp Riff (Camera)"",""Harald Kicher (Camera)"",""Unknown Kobinger (Music)"",""Leo Kliegel (Animator)"",""Unknown Pavlitzky (Music)"""
039210c9-a51a-4fd2-a46f-88a99316e9aa,Die basalen Ganglien des menschlichen Gehirns,C_857_444C475549_B1A166F83912405EBECF20DF552218A0_C.mp4,p_2023_anivision/01_Corpus/04_TIB/02_Hybrid/207 Die basalen Ganglien des menschlichen Gehirns/C_857_444C475549_B1A166F83912405EBECF20DF552218A0_C.039210c9-a51a-4fd2-a46f-88a99316e9aa.mp4,,,,,1962-01-30,1,5,,,,mp4,,"""Institut für den wissenschaftlichen Film (IWF)"",""Anatomisches Institut der Universität Münster""","""Göttingen"",""Münster""","""Science Film""","""Hellmut Becher (Author)"",""Horst Wittmann (Camera)"",""G Bauch (Camera)"",""Karl-Heinz Höfling (Unspecified)"""
03ade77f-3d70-450b-86c6-56c85a83e9ad,Was_ist_Seife_HD.mp4,Was_ist_Seife_HD.mp4,p_2023_anivision/01_Corpus/11_Filmarchiv/Lehrfilme/02_Hybrid/Was_ist_Seife_HD.03ade77f-3d70-450b-86c6-56c85a83e9ad.mp4,,,,,,,10,,,,mp4,,"""Apollo Waschmittelgesellschaft""","""""","""Educational Film""",
0500f113-5712-498c-9dc9-11b6bcb2b4af,Schwingungen einer rechteckigen Membran,C_1324de_1_C.mp4,p_2023_anivision/01_Corpus/04_TIB/03_Fully_animated/249 Schwingungen einer rechteckigen Membran/C_1324de_1_C.0500f113-5712-498c-9dc9-11b6bcb2b4af.mp4,,,,1978-01-30,1979-01-30,1,5,,,,mp4,,"""Institut für den wissenschaftlichen Film (IWF)"",""Mathematisches Institut II der Universität Karlsruhe""","""Göttingen"",""Karlsruhe""","""Science Film""","""Eberhard Halter (Author)"",""Gotthard Glatzer (Editor (Redaktion))"",""L Rüppel (Editor)"",""Eberhard Halter (Camera)"""
05a43e1a-2d35-4e11-b473-ae48ad83795c,Ein Schneemann erzählt,0001-09-1511-LBI_EinSchneemann_AVC-AAC_1280x720_24fps_K.mp4,p_2023_anivision/01_Corpus/07_Filmmuseum/EDU-Filme/02_Hybrid/0001-09-1511-LBI_EinSchneemann_AVC-AAC_1280x720_24fps_K.05a43e1a-2d35-4e11-b473-ae48ad83795c.mp4,,,,,,2,9,,,,mp4,,"""Gendarmerie Filmdienst""","""""","""Educational Film""",
06ec8783-df75-4dfb-80b7-4594b0f9b74f,Schwingung eines Duffing-Oszillators,C_1532_C.mp4,p_2023_anivision/01_Corpus/04_TIB/03_Fully_animated/248 Schwingung eines Duffing-Oszillators/C_1532_C.06ec8783-df75-4dfb-80b7-4594b0f9b74f.mp4,,,,1983-01-30,1985-01-30,1,5,,1,,mp4,,"""Institut für den wissenschaftlichen Film (IWF)"",""Institut für Mathematik der Technischen Universität München""","""Göttingen"",""München""","""Science Film""","""Rüdiger Seydel (Author)"",""Gotthard Glatzer (Unspecified)"",""H Tögel (Animator)"""
08092107-1278-478e-b7fa-6a516e325842,Treffen will gelernt sein! Teil 17: Turmbewaffnung SPz Bestimmung der Entfernung,Treffen will gelernt_Teil 17_Turmbewaffnung SPz-Bestimmen der Entfernung_von DVD_B-107721_sw_Ton_TC.mp4,p_2023_anivision/01_Corpus/19_NVA_Bundesarchiv/02_Hybrid/Treffen will gelernt_Teil 17_Turmbewaffnung SPz-Bestimmen der Entfernung_von DVD_B-107721_sw_Ton_TC.08092107-1278-478e-b7fa-6a516e325842.mp4,,,,1989-01-30,,3,14,,,,mp4,,"""Nationale Volksarmee der Deutschen Demokratischen Republik Film Studio""","""""","""Military Film""",
0e72e50d-3789-4767-881b-87271caf0421,Nachweis des Farbensehens bei der Honigbiene,VTS_MERGE.mp4,p_2023_anivision/01_Corpus/04_TIB/02_Hybrid/014 Nachweis des Farbensehens bei der Honigbiene/VTS_MERGE.0e72e50d-3789-4767-881b-87271caf0421.mp4,,,,,1977-01-31,1,5,,,,mp4,,"""Institut für den wissenschaftlichen Film (IWF)""","""Göttingen""","""Science Film""","""Karl von Frisch (Author)"",""Max Lindauer (Author)"",""Hasso Kuczka (Unspecified)"",""Roland Dröscher (Camera)"",""J Weiss (Camera)"",""Roland Dröscher (Editor)"",""Horst G. Graske (Animator)"""
